SKU,Description,Active,AssemblyAmount,AssemblyOption,AssemblyTime,BrandID,Category,DeliveryGroup,DiscountEligible,DisplayAvailability,FinancingEligible,FreightGroup,FreightRateType,FreightPercent,FreightAmount,LocalDelivery,Model,MSRP,Package,PowerType,ProductType,PromoName,QtyDanbury,QtyNewMilford,RebateEligible,RebateEndDate,RebateStartDate,RebateToCustomer,SaleEndDate,SalePrice,SaleStartDate,Series,SortOrder,SpecialFinancingEligible,SubCategory,System,Taxable,AllowBackorder,BuyOnlineEligible,MaximumOnLineQty,AvailabilityRequestEligible,ShippingEligible,ShippingRateType,ShipWeight,ShipLength,ShipWidth,ShipHeight,ShippingCarrierRule,ShippingRestriction,ShipsSeparately,RequiredSKU1,RequiredSKU1Qty,SKU1Requires1,SKU1Requires1Qty,SKU1Requires2,SKU1Requires2Qty,RequiredSKU2,RequiredSKU2Qty,SKU2Requires1,SKU2Requires1Qty,SKU2Requires2,SKU2Requires2Qty,RequiredSKU3,RequiredSKU3Qty,SKU3Requires1,SKU3Requires1Qty,SKU3Requires2,SKU3Requires2Qty,YZ252,YZ260,YZ360,YZ372,YZ460,YZ472,GROUP_SA223,SA223KBH-L,GROUP_SA325,GROUP_SA425,GROUP_SA425DHX,GROUP_YT235,GROUP_YT235C,GROUP_YT347,GROUP_YT347C,GROUP_YT359,GROUP_YT359C,GROUP_YM225,GROUP_YM232,GROUP_YM238,GROUP_YM342,GROUP_YM347,GROUP_YM359,GROUP_SM240,GROUP_SM240H,GROUP_SM475
R3KIT-SA424P,Turf Tire Kit,T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,106.56,,R3KIT-SA424P,2220,,,Accessory, ,0,0,T,,,,,,,,343,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,,,,,,,,,,,,,,,
R4KIT-SA221P,Industrial Tire Kit,T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,45.96,,R4KIT-SA221P,958,,,Accessory, ,0,0,T,,,,,,,,344,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,
R4KIT-SA324P,Industrial Tire Kit,T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,75.12,,R4KIT-SA324P,1565,,,Accessory, ,0,0,T,,,,,,,,345,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,
R4KIT-SA424P,Industrial Tire Kit,T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,106.56,,R4KIT-SA424P,2220,,,Accessory, ,0,0,T,,,,,,,,346,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,,,,,,,,,,,,,,,
RADIOKIT-YT2P,Radio,T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,25.5,,RADIOKIT-YT2P,531,,,Accessory, ,0,0,T,,,,,,,,347,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,T,,,,,,,,,,,,,
RADIOKIT-YT3P,Radio,T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,25.5,,RADIOKIT-YT3P,531,,,Accessory, ,0,0,T,,,,,,,,348,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,T,,,,,,,,,
REAR3RV-YT3P,3rd Extra Rear Remote Valve Kit,T,250,F,2.5,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,37.68,,REAR3RV-YT3P,785,,,Accessory, ,0,0,T,,,,,,,,,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,T,T,,,,,,,,,
REARRV-SAP,Rear Remote,T,250,F,2.5,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,57.18,,REARRV-SAP,1191,,,Accessory, ,0,0,T,,,,,,,,350,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,T,T,,,,,,,,,,,,,,,,
REARRV-YM2P,Rear Remote Valve Kit,T,250,F,2.5,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,38.16,,REARRV-YM2P,795,,,Accessory, ,0,0,T,,,,,,,,,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,T,,,,,,
REARRV-YM3P,2nd Rear Remote Valve,T,250,F,2.5,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,37.68,,REARRV-YM3P,785,,,Accessory, ,0,0,T,,,,,,,,352,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,T,,,
