ParentSKU,Description,Active,DeliveryGroup,SortOrder,Notes,BatterySKU1,BatteryQty1,BatterySKU2,BatteryQty2,BatterySKU3,BatteryQty3,ChargerSKU1,ChargerQty1,ChargerSKU2,ChargerQty2,ChargerSKU3,ChargerQty3,AttachmentSKU1,AttachmentQty1,AttachmentSKU2,AttachmentQty2,AttachmentSKU3,AttachmentQty3,AccessorySKU1,AccessoryQty1,PartSKU1,PartQty1
YM238GXI-TL,Yanmar YM238GXI-TL Compact Tractor,T,CUT,128,,,,,,,,,,,,,,YL405-YM2P,1,,,,,,,,
YM238GXI-TLB,Yanmar YM238GXI-TLB Compact Tractor,T,CUT,129,,,,,,,,,,,,,,YL405-YM2P,1,B75A-YM2P-KIT,1,BBUCKET16-B75P,1,,,,
YM238GXT-TL,Yanmar YM238GXT-TL Compact Tractor,T,CUT,131,,,,,,,,,,,,,,YL405-YM2P,1,,,,,,,,
YM238GXT-TLB,Yanmar YM238GXT-TLB Compact Tractor,T,CUT,132,,,,,,,,,,,,,,YL405-YM2P,1,B75A-YM2P-KIT,1,BBUCKET16-B75P,1,,,,
YM342VA-L,Yanmar YM342VA-L Compact Tractor,T,CUT,136,,,,,,,,,,,,,,YL605-YM34P,1,,,,,,,,
YM342VA-LB,Yanmar YM342VA-LB Compact Tractor,T,CUT,137,,,,,,,,,,,,,,YL605-YM34P,1,B85-YM3P-KIT,1,BBUCKET18-B85P,1,,,,
YM342VI-L,Yanmar YM342VI-L Compact Tractor,T,CUT,139,,,,,,,,,,,,,,YL605-YM34P,1,,,,,,,,
YM342VI-LB,Yanmar YM342VI-LB Compact Tractor,T,CUT,140,,,,,,,,,,,,,,YL605-YM34P,1,B85-YM3P-KIT,1,BBUCKET18-B85P,1,,,,
YM342VT-L,Yanmar YM342VT-L Compact Tractor,T,CUT,142,,,,,,,,,,,,,,YL605-YM34P,1,,,,,,,,
YM342VT-LB,Yanmar YM342VT-LB Compact Tractor,T,CUT,143,,,,,,,,,,,,,,YL605-YM34P,1,B85-YM3P-KIT,1,BBUCKET18-B85P,1,,,,
YM347VA-L,Yanmar YM347VA-L Compact Tractor,T,CUT,147,,,,,,,,,,,,,,YL605-YM34P,1,,,,,,,,
YM347VA-LB,Yanmar YM347VA-LB Compact Tractor,T,CUT,148,,,,,,,,,,,,,,YL605-YM34P,1,B85-YM3P-KIT,1,BBUCKET18-B85P,1,,,,
YM347VI-L,Yanmar YM347VI-L Compact Tractor,T,CUT,150,,,,,,,,,,,,,,YL605-YM34P,1,,,,,,,,
YM347VI-LB,Yanmar YM347VI-LB Compact Tractor,T,CUT,151,,,,,,,,,,,,,,YL605-YM34P,1,B85-YM3P-KIT,1,BBUCKET18-B85P,1,,,,
YM347VT-L,Yanmar YM347VT-L Compact Tractor,T,CUT,153,,,,,,,,,,,,,,YL605-YM34P,1,,,,,,,,
YM347VT-LB,Yanmar YM347VT-LB Compact Tractor,T,CUT,154,,,,,,,,,,,,,,YL605-YM34P,1,B85-YM3P-KIT,1,BBUCKET18-B85P,1,,,,
YM359VLA-L,Yanmar YM359VLA-L Compact Tractor,T,CUT,158,,,,,,,,,,,,,,YL605-YM35P,1,,,,,,,,
YM359VLA-LB,Yanmar YM359VLA-LB Compact Tractor,T,CUT,159,,,,,,,,,,,,,,YL605-YM35P,1,B85-YM3P-KIT,1,BBUCKET18-B85P,1,,,,
YM359VLI-L,Yanmar YM359VLI-L Compact Tractor,T,CUT,161,,,,,,,,,,,,,,YL605-YM35P,1,,,,,,,,
