SKU,Description,Active,AssemblyAmount,AssemblyOption,AssemblyTime,BrandID,Category,DeliveryGroup,DiscountEligible,DisplayAvailability,FinancingEligible,FreightGroup,LocalDelivery,Model,MSRP,PowerType,ProductType,PromoName,QtyDanbury,QtyNewMilford,RebateEligible,RebateEndDate,RebateStartDate,RebateToCustomer,SaleEndDate,SalePrice,SaleStartDate,Series,SortOrder,SpecialFinancingEligible,SubCategory,System,Taxable,AllowBackorder,BuyOnlineEligible,MaximumOnLineQty,AvailabilityRequestEligible,ShippingEligible,ShippingRateType,ShipWeight,ShipLength,ShipWidth,ShipHeight,ShippingCarrierRule,ShippingRestriction,ShipsSeparately,RequiredEngineHPMin,RequiredEngineHPMax,RequiredPTOHPMin,RequiredPTOHPMax,RequiredSKU1,RequiredSKU1Qty,SKU1Requires1,SKU1Requires1Qty,SKU1Requires2,SKU1Requires2Qty,RequiredSKU2,RequiredSKU2Qty,SKU2Requires1,SKU2Requires1Qty,SKU2Requires2,SKU2Requires2Qty,RequiredSKU3,RequiredSKU3Qty,SKU3Requires1,SKU3Requires1Qty,SKU3Requires2,SKU3Requires2Qty,YZ252,YZ260,YZ360,YZ372,YZ460,YZ472,GROUP_SA223,SA223KBH-L,GROUP_SA325,GROUP_SA425,GROUP_SA425DHX,GROUP_YT235,GROUP_YT235C,GROUP_YT347,GROUP_YT347C,GROUP_YT359,GROUP_YT359C,GROUP_YM225,GROUP_YM232,GROUP_YM238,GROUP_YM342,GROUP_YM347,GROUP_YM359,GROUP_SM240,GROUP_SM240H,GROUP_SM475,WeightLb,WeightKg,Weight,WeightUnit,SpecLabel1,SpecValue1,SpecLabel2,SpecValue2,SpecLabel3,SpecValue3,SpecLabel4,SpecValue4,SpecLabel5,SpecValue5,SpecLabel6,SpecValue6,SpecLabel7,SpecValue7,SpecLabel8,SpecValue8,SpecLabel9,SpecValue9,SpecLabel10,SpecValue10
YGB207,Yanmar YGB207 - 7' Grader Blade,T,100,T,1,YANMAR,Attachments,,T,T,T,Tarter Attachment,,YGB207,1238,,Attachment,,0,0,T,,,,,,,Tarter,470,,Grader Blade,Attachment,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YGB306,Yanmar YGB306 - 6' Grader Blade,T,100,T,1,YANMAR,Attachments,,T,T,T,Tarter Attachment,,YGB306,1355,,Attachment,,0,0,T,,,,,,,Tarter,471,,Grader Blade,Attachment,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YGB307,Yanmar YGB307 - 7' Grader Blade,T,100,T,1,YANMAR,Attachments,,T,T,T,Tarter Attachment,,YGB307,1479,,Attachment,,0,0,T,,,,,,,Tarter,472,,Grader Blade,Attachment,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YHF20,Yanmar YHF20 3-Point Hay Fork,T,100,T,1,YANMAR,Attachments,,T,T,T,Tarter Attachment,,YHF20,491,,Attachment,,0,0,T,,,,,,,Tarter,484,,Hay Fork,Attachment,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YHF30,Yanmar YHF30 3-Point Hay Fork,T,100,T,1,YANMAR,Attachments,,T,T,T,Tarter Attachment,,YHF30,743,,Attachment,,0,0,T,,,,,,,Tarter,485,,Hay Fork,Attachment,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YL110-SAP,YL110 Front Loader,T,300,T,3,YANMAR,Attachments,,T,T,T,YANMAR-ATTACHMENT,,YL110-SAP,4157,,Attachment, ,0,0,T,,,,,,,,290,,,Attachment,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YL210-SA4PRP,YL210 Front Loader,T,300,T,3,YANMAR,Attachments,,T,T,T,YANMAR-ATTACHMENT,,YL210-SA4PRP,4272,,Attachment, ,0,0,T,,,,,,,,291,,,Attachment,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YL210-SAP,YL210 Front Loader,T,300,T,3,YANMAR,Attachments,,T,T,T,YANMAR-ATTACHMENT,,YL210-SAP,4783,,Attachment, ,0,0,T,,,,,,,,292,,,Attachment,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YL310-YT2P,YL310 Front Loader,T,300,T,3,YANMAR,Attachments,,T,T,T,YANMAR-ATTACHMENT,,YL310-YT2P,6195,,Attachment, ,0,0,T,,,,,,,,293,,,Attachment,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YL405-YM2P,YL405 Front Loader,T,300,T,3,YANMAR,Attachments,,T,T,T,YANMAR-ATTACHMENT,,YL405-YM2P,7751,,Attachment, ,0,0,T,,,,,,,,294,,,Attachment,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
