SKU,Description,Active,AssemblyAmount,AssemblyOption,AssemblyTime,BrandID,Category,DeliveryGroup,DiscountEligible,DisplayAvailability,FinancingEligible,FreightGroup,LocalDelivery,Model,MSRP,PowerType,ProductType,PromoName,QtyDanbury,QtyNewMilford,RebateEligible,RebateEndDate,RebateStartDate,RebateToCustomer,SaleEndDate,SalePrice,SaleStartDate,Series,SortOrder,SpecialFinancingEligible,SubCategory,System,Taxable,AllowBackorder,BuyOnlineEligible,MaximumOnLineQty,AvailabilityRequestEligible,ShippingEligible,ShippingRateType,ShipWeight,ShipLength,ShipWidth,ShipHeight,ShippingCarrierRule,ShippingRestriction,ShipsSeparately,WarrantyResidentialUse,WarrantyCommercialUse,WeightLb,WeightKg,Weight,WeightUnit,SpecLabel1,SpecValue1,SpecLabel2,SpecValue2,SpecLabel3,SpecValue3,SpecLabel4,SpecValue4,SpecLabel5,SpecValue5,SpecLabel6,SpecValue6,SpecLabel7,SpecValue7,SpecLabel8,SpecValue8,SpecLabel9,SpecValue9,SpecLabel10,SpecValue10,ImageURL,InventoryURL,ManualURL,ProductURL,Notes
YM238GXT-TL,Yanmar YM238GXT-TL Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,YM,T,YM238GXT-TL,36299,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,1900,,,,YM238,131,,,YM,T,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM238GXT-TLB,Yanmar YM238GXT-TLB Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,YM,T,YM238GXT-TLB,52699,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,2200,,,,YM238,132,,,YM,T,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM342VA,Yanmar YM342VA Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,YM,T,YM342VA,31899,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,500,,,,YM342,135,,,YM,T,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM342VA-L,Yanmar YM342VA-L Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,YM,T,YM342VA-L,40199,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,2400,,,,YM342,136,,,YM,T,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM342VA-LB,Yanmar YM342VA-LB Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,YM,T,YM342VA-LB,60299,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,2700,,,,YM342,137,,,YM,T,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM342VI,Yanmar YM342VI Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,YM,T,YM342VI,31899,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,500,,,,YM342,138,,,YM,T,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM342VI-L,Yanmar YM342VI-L Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,YM,T,YM342VI-L,40199,Diesel,Tool, ,0,0,T,2026-09-30,2026-08-01,2400,,,,YM342,139,,,YM,T,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM342VI-LB,Yanmar YM342VI-LB Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,YM,T,YM342VI-LB,60299,Diesel,Tool, ,1,1,T,2026-09-30,2026-08-01,2700,,,,YM342,140,,,YM,T,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM342VT,Yanmar YM342VT Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,YM,T,YM342VT,31899,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,500,,,,YM342,141,,,YM,T,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM342VT-L,Yanmar YM342VT-L Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,YM,T,YM342VT-L,40199,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,2400,,,,YM342,142,,,YM,T,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
